itag;type;url;s;*Extension;*MimeType;*PlayerVersion;bitrate;projection_type;index;init;clen;lmt;xtags;*AudioCodec;*ArgumentLeftovers;VideoID;ArgCount
140;"audio/mp4| codecs=""mp4a.40.2""";https://r8---sn-nfpnnjvh-9anz.googlevideo.com/videoplayback?keepalive=yes&mime=audio/mp4&pl=45&itag=140&signature=986820C2D16FBA7164238DD926670F1447BE394E.0EB1360AA5A0F1335986B932A58D3D7AD518087B&ipbits=0&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire&source=youtube&initcwndbps=7198750&id=o-AJph71LJ5SymKOB1TOOmnKcI4qBSgOVbXkC1WPgsQxYJ&dur=832.063&expire=1496289818&key=yt6&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&lmt=1496016706608390&ei=uT0vWZ_rO82zW7zHsIgP&ms=au&mt=1496268144&mv=m&mm=31&requiressl=yes&gir=yes&clen=13215887&mn=sn-nfpnnjvh-9anz;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128429;1;592 - 1631;0 - 591;13215887;1.50E+15;;mp4a.40.2;;O4ndIDcDSGc;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r6---sn-nfpnnjvh-9anz.googlevideo.com/videoplayback?dur=2727.299&pl=45&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&lmt=1484902132053705&keepalive=yes&ei=uj0vWdjxGNOBWZbAhtAN&ms=au&source=youtube&mv=m&id=o-AO78Y0PVMtxUvGosoCVqOKy5oBN9zW_5iLvE8qlOjZrg&mm=31&mn=sn-nfpnnjvh-9anz&signature=E16559CFFCFCBDDE5CC2B69F610A8F54958E4FCC.AB54CA8B0603BF0AEB99D75F143EB57568E578C5&clen=43316723&requiressl=yes&itag=140&mt=1496268144&ipbits=0&mime=audio/mp4&initcwndbps=7198750&key=yt6&gir=yes&expire=1496289818&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;130163;1;592 - 3899;0 - 591;43316723;1.48E+15;;mp4a.40.2;;jDyra0RH-Xs;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r5---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&ei=uj0vWeLeL4noW_T_ipgL&itag=140&beids=[9466591]&requiressl=yes&signature=BA7BDC9EC2CD42E291970EC2F94A351953EE08FD.715E47D871A6B3EA2742440ADE4F531D397AE856&mime=audio/mp4&pcm2cms=yes&source=youtube&key=yt6&gir=yes&expire=1496289818&lmt=1487256158743954&keepalive=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&clen=7413681&pl=45&mt=1496268144&dur=466.744&mv=m&ms=au&mm=31&ipbits=0&mn=sn-nfpnnjvh-9an6&id=o-ALKQCXeSlUXgdhVjd2QyAsaVcMwsH4ywFBUObDXVSos8&initcwndbps=6627500;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128075;1;592 - 1187;0 - 591;7413681;1.49E+15;;mp4a.40.2;;PQDvEJFdY1U;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r3---sn-nfpnnjvh-9anz.googlevideo.com/videoplayback?dur=361.929&ipbits=0&expire=1496289819&requiressl=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&lmt=1488339438453597&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire&mv=m&mt=1496268144&ms=au&mn=sn-nfpnnjvh-9anz&mm=31&pl=45&id=o-AK7oc8tOZSqYjeRgrh2fti3gsUoLvVwKDun-FTE9ANR3&initcwndbps=7198750&source=youtube&keepalive=yes&ei=uz0vWbjdCMmsWaSbsNgL&signature=30103A540356E046DAC93234864BB6FA7A57BF14.14100E085A6F0B9F064F3EBF172C6F1E827B84D5&key=yt6&mime=audio/mp4&gir=yes&itag=140&clen=5749025;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128032;1;592 - 1067;0 - 591;5749025;1.49E+15;;mp4a.40.2;;AGX0cLbHaog;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r7---sn-nfpnnjvh-9ans.googlevideo.com/videoplayback?initcwndbps=7623750&dur=258.577&signature=09D71469456B1A2F2DF499D5B7C008A155D665EE.A760794A9DCD4B3EAB9F8BE5202693A88D0EF939&clen=4107470&itag=140&key=yt6&ipbits=0&id=o-AOf68qLuWw4DSMHrYD8sNjet_ZZWrsWIkynDn79-4P53&ms=au&mt=1496268144&mv=m&expire=1496289819&keepalive=yes&requiressl=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&mime=audio/mp4&source=youtube&mm=31&mn=sn-nfpnnjvh-9ans&pl=45&ei=uz0vWYmiKo_-WMa9l-gP&pcm2cms=yes&gir=yes&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&lmt=1486709204043001;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;127871;1;592 - 935;0 - 591;4107470;1.49E+15;;mp4a.40.2;;D046q2EbHGE;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r3---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?mt=1496268144&mv=m&pl=45&id=o-APsCY6Am8PxjQJ4-rFuOkkx2Srv4WQ3rCikPuoY6ayqd&ms=au&signature=6D7324387BB7449314902EF0A289E28C91002BBE.AD8ED38AAFEF566F8274F3DA7BA49412FD5E1912&gir=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&key=yt6&initcwndbps=6627500&keepalive=yes&mm=31&ipbits=0&mn=sn-nfpnnjvh-9an6&source=youtube&clen=11185312&lmt=1461909819629586&pcm2cms=yes&expire=1496289820&mime=audio/mp4&itag=140&ei=vD0vWafmCYqRW6qrgXA&dur=704.214&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&beids=[9466593]&requiressl=yes;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128274;1;592 - 1475;0 - 591;11185312;1.46E+15;;mp4a.40.2;;NjCIq58rZ8I;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r1---sn-nfpnnjvh-9ans.googlevideo.com/videoplayback?mn=sn-nfpnnjvh-9ans&mm=31&source=youtube&gir=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&pl=45&mv=m&mt=1496268144&ms=au&ei=vD0vWbCxH4qMWKD9j4gJ&id=o-AOYWwWtXnWvDKaJVE1XDuQyTfkR4O09m_Gw22AbdNWxM&initcwndbps=7623750&key=yt6&lmt=1486460999667732&expire=1496289820&clen=9288994&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pl,requiressl,source,expire&requiressl=yes&keepalive=yes&signature=20E33BF35CDB5BE10E1EC3FFF08AF7EEF2AFA9E4.27CDAF1EA8C1B4400BAB2A18B5F6A5B07479742A&ipbits=0&dur=584.817&mime=audio/mp4&itag=140;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128163;1;592 - 1331;0 - 591;9288994;1.49E+15;;mp4a.40.2;;Noo4lN-vSvw;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r8---sn-nfpnnjvh-9ans.googlevideo.com/videoplayback?gir=yes&mime=audio/mp4&key=yt6&requiressl=yes&initcwndbps=7623750&source=youtube&dur=779.168&lmt=1490704892127175&pcm2cms=yes&clen=12375704&expire=1496289821&id=o-AJ8qAnk9rxjiBeBX41tTs7-WR9-yUuB8mZxHnsCyw35U&mm=31&mn=sn-nfpnnjvh-9ans&ei=vD0vWbW0OM7wWqL_j8AL&ms=au&ipbits=0&keepalive=yes&mv=m&pl=45&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&signature=D184D8AAD98E0F2316B381BF967D7262BC768D77.CAD95D656D84A960F732319E75BBF65C0A678C31&itag=140&mt=1496268144;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128346;1;592 - 1559;0 - 591;12375704;1.49E+15;;mp4a.40.2;;rXfKWIZQIo4;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r1---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?mn=sn-nfpnnjvh-9an6&signature=5C1C88AE5E562A4B404AE0F64CAC7695C19398B1.93DC9EE43B62148C01C3AEAF64234BC61390F1DC&source=youtube&requiressl=yes&mime=audio/mp4&expire=1496289821&mm=31&ms=au&ei=vT0vWZruD8fIWYaylqAJ&itag=140&pl=45&mt=1496268144&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&mv=m&clen=8617456&pcm2cms=yes&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&gir=yes&id=o-ANdzimW_QBqGWZmTbZu_xodg9CNOTty5zgNJ70HVB2Nm&keepalive=yes&ipbits=0&initcwndbps=6627500&dur=542.534&key=yt6&lmt=1481184601364551;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;128091;1;592 - 1283;0 - 591;8617456;1.48E+15;;mp4a.40.2;;QvvkJT8myeI;0
140;"audio/mp4| codecs=""mp4a.40.2""";https://r2---sn-nfpnnjvh-9an6.googlevideo.com/videoplayback?requiressl=yes&source=youtube&itag=140&lmt=1419618892876588&keepalive=yes&dur=5579.498&clen=89573171&expire=1496289821&mime=audio/mp4&key=yt6&sparams=clen,dur,ei,gir,id,initcwndbps,ip,ipbits,itag,keepalive,lmt,mime,mm,mn,ms,mv,pcm2cms,pl,requiressl,source,expire&initcwndbps=6627500&beids=[9466593]&mm=31&gir=yes&mn=sn-nfpnnjvh-9an6&id=o-AFtokTz7fs_OjJq7kRiFdJUE6EtOkLsfceAbRStYJLIK&mt=1496268144&mv=m&ms=au&ip=2a02:1205:5078:a750:b187:fae3:aa53:3fd6&signature=7B1BD4ACB9A0533620BA19345BC68281B131BB2A.74A0A39AB937D72ECDF6695F7B5FEB6671BBD59B&ei=vT0vWe7nJsW7WPSDupAI&pl=45&ipbits=0&pcm2cms=yes;;.mp4;audio/mp4;/yts/jsbin/player-vflyC4_W-/en_US/base.js;134493;1;592 - 7319;0 - 591;89573171;1.42E+15;;mp4a.40.2;;DfY-DRsE86s;0
